X_mean,Y_mean,Z_mean,theta,phi,cos_phi,sin_phi,X_ideal,Y_ideal,Z_ideal
-0.86,-0.4,0.25,1.2350889012144675,3.5039227250149922,-0.9350734596961487,-0.35445398145863,-0.8828753155224784,-0.33466747181571793,0.3294371875632147
-0.3,0.49,-0.71,2.53234034420343,2.159394093629211,-0.5551953037411453,0.8317200098012416,-0.31771298701575806,0.47595548250157993,-0.8200761163198287
-0.62,-0.07,0.86,0.5496426970522531,3.3139483834389316,-0.9851834846366432,-0.17150364893844428,-0.5146426964361184,-0.0895905196491065,0.8527112253242387
0.37,0.46,0.79,0.6477257628471959,0.8907816479670498,0.6288044378068026,0.7775634887226064,0.37940447452707865,0.4691618715020637,0.7974580760375509
-0.96,0.14,-0.19,1.8640422233699607,3.0771113428676093,-0.9979218005018142,0.06443663618794288,-0.9553211753158639,0.06168587857837303,-0.28906107378395146
0.93,-0.12,0.32,1.1343336517502318,6.136036870910878,0.9891931896655503,-0.14661798497897433,0.8964589850622815,-0.13287294269642866,0.4227364062868204
0.06,0.13,-0.99,2.965476201885623,1.4907572174821824,0.07995367813769234,0.9967985801315401,0.01400847834385614,0.17464651593528618,-0.984531541905162
0.73,-0.59,-0.19,1.8327135341334613,5.536555327151604,0.7339818458567221,-0.6791690878954659,0.708949634020732,-0.6560062473202859,-0.25893284824182916
0.73,0.35,0.67,0.8793109518262588,0.4421604679778283,0.903829323842565,0.42789315647985293,0.6962194282046764,0.3296059564327533,0.6376820691178351
-0.89,0.3,0.25,1.3129796870508774,2.8309200211132475,-0.9521281621208149,0.3056991378732353,-0.9206593492208038,0.29559546763623745,0.2549699633392942
0.6,0.59,0.49,1.0017898354041332,0.7707545693758734,0.7173851829480924,0.6966767538008801,0.6043515980145479,0.5869060575364776,0.5387953466802131
-0.58,-0.31,-0.75,2.4166321562353636,3.5906870001318443,-0.900840661061866,-0.43414986280962975,-0.5973527342832607,-0.2878873244157708,-0.7485256169865138
-0.09,0.12,-0.99,3.0474950364631725,2.844788429095882,-0.9562760253434637,0.29246566183623546,-0.08985056330496051,0.027479727366275398,-0.9955760849164954
-0.59,-0.85,-0.22,1.880682192722045,4.125491229635137,-0.5537805647553226,-0.8326626484352928,-0.5274031000333985,-0.7930015786321841,-0.3049499407476986
-0.22,0.3,0.84,0.5345367139056681,2.2297791185260842,-0.6123129482819796,0.7906154902139407,-0.3119381988863867,0.4027730798784947,0.8605047392087442
-0.65,0.86,0.13,1.4735866196604268,2.0803440596064044,-0.48778248326436324,0.8729652049311308,-0.4854795919056889,0.8688438104657011,0.09705667858796163
-0.67,-0.35,0.69,0.8400968101074894,3.6489160794172157,-0.8740480225057828,-0.48583953560175663,-0.6509103219233675,-0.3618084594654483,0.6673907337331386
0.47,-0.88,0.34,1.2671212150653866,5.1579562834796695,0.4309698648297528,-0.902366320076622,0.41125039485145204,-0.8610776198441591,0.2990291713830653
0.91,-0.06,-0.43,2.032993957407753,6.06314163948124,0.9758879188148039,-0.21827223806822244,0.8734925867353142,-0.19536995813440303,-0.44591622573865985
0.53,-0.76,0.42,1.1856606255404774,5.303669524873682,0.5574246229705553,-0.8302275529673381,0.5165918536432792,-0.769411276178548,0.3756849009990939
0.88,0.15,-0.42,2.0271528327201698,0.05059149197686392,0.9987205234063006,0.050569913259220875,0.8965155285152214,0.045394794089072085,-0.4406804055102562
-0.24,-0.98,0.06,1.5271778176415132,4.434537425483071,-0.2742902375036253,-0.9616469547657315,-0.27402935008680446,-0.9607322973859943,0.04360467922635597
